time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-10-14T07:40:09.894Z,-17.7479,-179.9459,614.52,4.9,mb,102,34,1.423,0.76,us,us6000nyjf,2024-10-14T08:11:00.040Z,"85 km ENE of Levuka, Fiji",earthquake,11.83,7.671,0.026,462,reviewed,us,us
2024-08-09T05:33:42.138Z,-15.9357,178.8837,10,4.5,mb,44,124,1.967,0.52,us,us6000np9a,2024-10-24T17:58:28.040Z,"75 km NW of Labasa, Fiji",earthquake,10.81,1.878,0.09,36,reviewed,us,us
2024-08-07T03:20:58.888Z,-17.6352,179.9873,610.617,4.5,mb,329,67,1.847,0.75,us,us6000nigu,2024-10-24T17:56:50.040Z,"85 km NE of Levuka, Fiji",earthquake,10.11,5.535,0.037,215,reviewed,us,us
2024-07-31T15:18:49.556Z,-17.6253,179.9571,612.953,4.6,mb,58,82,1.819,0.75,us,us6000nh4k,2024-10-11T19:39:07.040Z,"83 km NE of Levuka, Fiji",earthquake,15.11,8.063,0.077,50,reviewed,us,us
2024-07-31T15:18:03.258Z,-17.6696,179.9548,606.211,5.7,mww,291,42,1.815,0.84,us,us6000nh4g,2024-10-11T19:39:07.040Z,"80 km ENE of Levuka, Fiji",earthquake,10.06,3.735,0.068,21,reviewed,us,us
2024-07-29T10:42:22.575Z,-17.7422,-179.6938,608.303,4.5,mb,44,65,2.147,0.99,us,us6000ngmu,2024-10-11T19:39:05.040Z,"110 km ENE of Levuka, Fiji",earthquake,9.11,8.237,0.092,35,reviewed,us,us
2024-07-24T14:32:21.465Z,-15.4586,179.7986,10,4.6,mb,18,95,2.823,0.8,us,us6000niny,2024-10-08T21:49:14.005Z,"117 km NNE of Labasa, Fiji",earthquake,12.46,1.888,0.152,13,reviewed,us,us
2024-06-01T09:29:15.324Z,-16.3189,-179.4816,10,4.9,mb,30,114,1.113,0.87,us,us7000mpfv,2024-08-06T20:32:49.040Z,"123 km E of Labasa, Fiji",earthquake,3.96,4.782,0.099,32,reviewed,us,us
2024-05-14T20:03:48.429Z,-16.3759,178.0824,10,4.6,mb,20,85,1.24,0.29,us,us6000n02z,2024-07-26T23:58:09.040Z,"135 km NNE of Ba, Fiji",earthquake,5.2,1.536,0.165,13,reviewed,us,us
2024-04-28T03:37:30.173Z,-18.2051,176.4146,10,4.6,mb,13,106,1.625,1,us,us6000mwqj,2024-07-02T22:12:30.040Z,"115 km WSW of Nadi, Fiji",earthquake,10.62,1.778,0.222,6,reviewed,us,us
2024-03-24T13:12:22.008Z,-17.718,176.2629,10,4.9,mb,27,88,1.706,0.92,us,us6000mkyw,2024-05-27T14:19:23.040Z,"122 km W of Nadi, Fiji",earthquake,6.71,1.75,0.106,28,reviewed,us,us
2024-02-26T20:10:52.119Z,-17.5886,176.3307,10,4.7,mb,27,84,1.649,0.72,us,us7000m1qh,2024-05-10T21:26:01.040Z,"117 km WNW of Nadi, Fiji",earthquake,8.67,1.868,0.13,18,reviewed,us,us
2024-01-14T07:33:51.118Z,-16.3095,177.7366,10,4.5,mb,16,150,1.459,0.9,us,us6000m4rf,2024-03-16T19:01:15.040Z,"135 km N of Ba, Fiji",earthquake,14.89,1.939,0.15,14,reviewed,us,us
2023-12-25T20:34:20.850Z,-16.7457,176.8581,10,4.5,mb,17,81,1.513,0.55,us,us6000m1tg,2024-03-02T21:39:35.040Z,"115 km NNW of Lautoka, Fiji",earthquake,5.8,1.886,0.164,11,reviewed,us,us
2023-12-15T17:25:09.511Z,-16.1069,178.603,10,4.5,mb,12,106,1.712,0.64,us,us7000lke3,2024-02-17T22:43:14.040Z,"89 km WNW of Labasa, Fiji",earthquake,6.74,1.954,0.18,9,reviewed,us,us
2023-11-23T22:58:34.799Z,-15.9753,176.1582,10,4.6,mb,29,73,2.527,0.39,us,us7000ledu,2024-02-01T15:13:45.040Z,"227 km NW of Lautoka, Fiji",earthquake,7.05,1.733,0.132,17,reviewed,us,us
2023-11-21T15:32:14.820Z,-15.778,179.8499,12.776,5.2,mww,82,114,2.606,0.66,us,us6000lpu1,2024-02-01T15:13:42.040Z,"89 km NE of Labasa, Fiji",earthquake,8.91,3.636,0.068,21,reviewed,us,us
2023-10-31T11:10:56.943Z,-17.5412,-179.0263,560,6.5,mww,113,27,2.793,0.71,us,us7000l7qy,2024-01-10T06:01:23.040Z,"185 km ENE of Levuka, Fiji",earthquake,10.25,1.963,0.052,36,reviewed,us,us
2023-10-18T16:18:43.515Z,-15.8791,-179.9279,10,4.6,mb,23,72,2.68,0.89,us,us6000lhif,2023-12-26T21:24:56.040Z,"97 km NE of Labasa, Fiji",earthquake,5.78,1.896,0.133,17,reviewed,us,us
2023-10-16T08:46:09.484Z,-15.8606,-179.6159,10,5.2,mww,88,32,2.915,0.47,us,us6000lfv4,2023-12-26T21:24:22.040Z,"126 km ENE of Labasa, Fiji",earthquake,9.21,1.835,0.093,11,reviewed,us,us
2023-06-28T04:21:28.983Z,-16.2722,178.5024,10,5.5,mww,73,52,1.526,0.53,us,us6000knjz,2023-09-08T14:18:24.040Z,"93 km W of Labasa, Fiji",earthquake,6.61,1.773,0.065,23,reviewed,us,us
2023-06-22T02:23:43.956Z,-16.1622,178.5934,10,4.5,mb,17,50,1.657,0.72,us,us6000kp5n,2023-08-26T20:54:19.040Z,"Fiji",earthquake,9.19,1.866,0.191,9,reviewed,us,us
2023-06-12T17:38:24.138Z,-16.1512,178.2607,10,4.8,mb,83,121,1.597,0.61,us,us7000k9lw,2023-08-21T04:19:26.040Z,"122 km WNW of Labasa, Fiji",earthquake,11.37,1.812,0.062,79,reviewed,us,us
2023-06-10T09:12:50.137Z,-15.954,-179.0523,10,5.7,mww,119,49,1.868,0.59,us,us7000k7m3,2023-08-12T17:15:15.040Z,"177 km ENE of Labasa, Fiji",earthquake,7.12,1.752,0.046,45,reviewed,us,us
2023-05-23T21:46:55.901Z,-16.0148,179.1306,10.158,4.5,mb,11,122,2.006,0.36,us,us7000k50d,2023-07-29T22:00:46.040Z,"52 km NNW of Labasa, Fiji",earthquake,9.48,4.825,0.222,6,reviewed,us,us
2023-05-01T13:14:35.306Z,-16.6087,175.0609,18.418,4.7,mb,29,63,3.075,0.68,us,us6000k9s4,2023-07-15T22:09:54.040Z,"277 km WNW of Lautoka, Fiji",earthquake,10.16,2.91,0.12,21,reviewed,us,us
2023-04-08T16:27:32.526Z,-16.5746,175.0025,14.836,5.3,mww,42,58,7.583,0.74,us,us6000k2vx,2023-06-13T03:12:22.040Z,"284 km WNW of Lautoka, Fiji",earthquake,8.74,4.332,0.083,14,reviewed,us,us
2023-03-18T03:01:09.673Z,-19.2513,-179.1057,487.675,4.6,mb,64,54,3.085,1.13,us,us7000jl0d,2023-05-20T23:20:35.040Z,"211 km SE of Levuka, Fiji",earthquake,3.92,6.162,0.031,320,reviewed,us,us
2023-03-11T18:21:26.034Z,-16.4466,177.5002,10,5.2,mww,72,98,1.395,0.72,us,us7000jj5y,2023-05-15T02:49:09.040Z,"121 km N of Ba, Fiji",earthquake,5.18,1.736,0.089,12,reviewed,us,us
2023-03-11T13:29:45.928Z,-16.3993,177.5056,10,5.5,mww,58,61,4.703,0.59,us,us7000jj4s,2023-05-15T02:49:11.040Z,"126 km N of Ba, Fiji",earthquake,9.24,1.836,0.098,10,reviewed,us,us
